"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chr","start","end","color"
26.8065853374035,-5.14705043794679,1.02908692498111,-5.00157014242626,5.68652701428191e-07,4.1701496140741e-06,"chr1",817067,817478,"blue"
60.6015045758635,2.35874283287302,0.591690689472343,3.98644574748421,6.70704550052631e-05,0.00031519329397432,"chr1",845568,846217,"red"
34.2589215308724,-2.55910009582719,0.723129867410386,-3.53892186059419,0.0004017647592182,0.00157806268069982,"chr1",898347,898626,"blue"
48.3107441025855,1.80636356704126,0.606626821089804,2.97771793834657,0.00290403100551317,0.00934296572445814,"chr1",917026,917360,"red"
303.698027701914,1.61169804026523,0.390323787734164,4.12913097001124,3.64136946043032e-05,0.000182043753134511,"chr1",920336,921359,"red"
236.3766757837,1.19083043761727,0.391007053037431,3.04554720526556,0.00232257316222089,0.00764471323056008,"chr1",932842,933564,"red"
245.720778511092,1.42920323538938,0.389137724595415,3.67274397997604,0.000239959864425138,0.000992885740188954,"chr1",938161,938689,"red"
233.672411752748,1.05643523052746,0.382568869297772,2.76142497549948,0.0057549737129476,0.0172713398298981,"chr1",940214,941001,"red"
366.519792489794,1.26261161797898,0.391674813795174,3.22362218225056,0.00126580285803596,0.00442371810323574,"chr1",941393,942491,"red"
92.5006300382808,1.39708710019852,0.477271249607332,2.9272391776122,0.00341985771123177,0.0108289560698212,"chr1",995742,996089,"red"
365.225776780618,-1.06049121101249,0.401233448673975,-2.64307777558745,0.00821561611223787,0.0237174470174225,"chr1",1024567,1025306,"blue"
46.9823972569458,-1.5817309799712,0.627921199903365,-2.51899598264022,0.0117689999488873,0.032577554835963,"chr1",1031811,1032192,"blue"
287.460856520482,-4.45702116810342,0.472341384896344,-9.43601664097573,3.87220723475274e-21,3.92042770256033e-19,"chr1",1032588,1033544,"blue"
824.156820348696,1.1182975503736,0.380402048219037,2.93977794180981,0.00328447542934436,0.0104494562653318,"chr1",1068535,1069737,"red"
272.716766187651,1.95511632323572,0.445294473896332,4.39061438631481,1.13030835638907e-05,6.320340308289e-05,"chr1",1124573,1125512,"red"
90.0488157147706,-3.5689757594674,0.561958215547464,-6.35096286650152,2.13971360347126e-10,3.05969205019215e-09,"chr1",1144094,1144724,"blue"
56.380051658238,-2.5758885900356,0.580502510988075,-4.43734271821008,9.10762240965235e-06,5.19526941653132e-05,"chr1",1165958,1166142,"blue"
139.41113587489,-1.55890479612186,0.45288220687488,-3.44218600876176,0.000577033321448229,0.00218373081357633,"chr1",1201123,1201797,"blue"
465.002104887167,1.54508792288829,0.380549903149002,4.06014535834299,4.90421749071229e-05,0.00023800763596555,"chr1",1272363,1273105,"red"
180.285703469016,-2.77164244930188,0.421131254546381,-6.58142187116303,4.65970348863174e-11,7.54880597236125e-10,"chr1",1281415,1282349,"blue"
134.440650818784,1.17398314710504,0.464015604693439,2.53005100524724,0.0114045946483533,0.0316879599625133,"chr1",1300130,1300718,"red"
156.071925495988,-2.96772803882922,0.46670347175728,-6.35891571077203,2.03182855210976e-10,2.91876018721915e-09,"chr1",1332721,1333404,"blue"
76.432151751292,-4.95081659782487,0.649996711809509,-7.61667945064279,2.60284643284749e-14,7.73561758136054e-13,"chr1",1358538,1358783,"blue"
348.226187111527,-2.04486919768004,0.429836636597085,-4.75731713766604,1.96182833077387e-06,1.28773945556862e-05,"chr1",1359408,1360835,"blue"
63.3026678666967,-5.06162696375289,0.74560239412381,-6.78864097492744,1.13194738443807e-11,2.06228137992135e-10,"chr1",1417954,1418209,"blue"
53.3680051440886,-5.56624198870268,0.837619557664819,-6.64531043690131,3.02578655268129e-11,5.07578324226973e-10,"chr1",1419962,1420254,"blue"
102.945248691757,-3.99739880019087,0.629111106589612,-6.35404264575874,2.09728649868539e-10,3.00396433294159e-09,"chr1",1421065,1421720,"blue"
175.881967657778,-3.85131976722303,0.554014335141538,-6.95166085592191,3.61010454490853e-12,7.20275827788602e-11,"chr1",1430339,1430939,"blue"
182.026733600688,-4.81226608460774,0.553895249649291,-8.68804361051067,3.68734250710222e-18,2.21717512220133e-16,"chr1",1434214,1434741,"blue"
192.846819876839,-2.67296280188327,0.408224983197379,-6.54776878413362,5.8403046080432e-11,9.29354328513604e-10,"chr1",1461813,1462881,"blue"
28.7144496986729,-3.87112232584939,0.946369266129822,-4.09049877716375,4.30446480907058e-05,0.000211617659446247,"chr1",1518457,1518847,"blue"
73.630809290056,-4.32721931467397,0.624335016371192,-6.93092522637119,4.1809701334948e-12,8.23139893131737e-11,"chr1",1540395,1540728,"blue"
72.7824488498027,-3.88925858277926,0.589527918930798,-6.5972424000428,4.18875609333952e-11,6.84770348564271e-10,"chr1",1543809,1544067,"blue"
90.2095455933723,1.15229454902772,0.483362749411332,2.3839126006939,0.0171296700479369,0.0453544367175829,"chr1",1550907,1551395,"red"
158.2733418383,1.63421167106318,0.433601458971333,3.76892567414361,0.000163951695119281,0.000704640776900878,"chr1",1554659,1555404,"red"
114.905166436811,1.55729404284787,0.469386696575647,3.31772087749592,0.000907551276388921,0.0032843338025971,"chr1",1597392,1597898,"red"
214.75321894995,1.34438517611334,0.470556176320646,2.85701313417093,0.00427648141877852,0.0132283140247802,"chr1",1599605,1600467,"red"
50.6776989366674,-4.02151749729103,0.765719368696822,-5.25194694256624,1.50499820129866e-07,1.23703726325506e-06,"chr1",1630827,1631283,"blue"
51.3554153702436,-2.26553648499726,0.684507686651757,-3.30973125528954,0.00093385587369247,0.00337011368262984,"chr1",1664920,1665576,"blue"
691.439983791012,1.0854026667538,0.3388841028487,3.20287277458511,0.00136064076761358,0.00472189828232992,"chr1",1758481,1759946,"red"
211.10708347995,1.66320959647848,0.404273994780353,4.11406525760364,3.88751457535565e-05,0.000193251475076682,"chr1",1858724,1859826,"red"
38.7177134127008,-1.83138875116378,0.710809788611577,-2.57648217639353,0.00998113512109125,0.0281657471619516,"chr1",1989069,1989334,"blue"
43.177043361746,-5.25094244356662,0.846844128444881,-6.20060087469614,5.62479939242682e-10,7.42829217355124e-09,"chr1",2014932,2015297,"blue"
47.4850050400641,-2.20487532039524,0.622222599105554,-3.54354747571809,0.000394782223815143,0.00155425783732241,"chr1",2085204,2085390,"blue"
